Portfolio,Department/Agency,Outcome,Program,Expense type,Appropriation type,Description,2013-14,2014-15,2015-16,2016-17,2017-18,Source document,Source table,URL
"Dronningen","Statsydelse","Statsydelse","Statsydelse",Expense type,Appropriation type,"Almindelig virksomhed",77200,72300,79000,79000,79000,<a href="javascript:visAnm('153011101')">Se anmærkninger,link</a>,
"Medlemmer af det kongelige hus m.fl.","Årpenge mv.","Årpenge mv.","Årpenge mv.",Expense type,Appropriation type,"Almindelig virksomhed",26200,24800,26800,26800,26800,<a href="javascript:visAnm('153021101')">Se anmærkninger,link</a>,
"Folketinget","Udgifter ved Folketinget","Folketinget","Folketinget",Expense type,Appropriation type,"Almindelig virksomhed",372700,367500,372500,372500,372000,<a href="javascript:visAnm('153031101')">Se anmærkninger,link</a>,
"Folketinget","Udgifter ved Folketinget","Folketinget","Folketinget",Expense type,Appropriation type,"Udvalgsarbejde",11000,16000,16900,16200,16200,<a href="javascript:visAnm('153031101')">Se anmærkninger,link</a>,
"Folketinget","Udgifter ved Folketinget","Folketinget","Folketinget",Expense type,Appropriation type,"Interparlamentariske forsamlinger",13700,15700,15800,15800,15800,<a href="javascript:visAnm('153031101')">Se anmærkninger,link</a>,
"Folketinget","Udgifter ved Folketinget","Folketinget","Folketingets medlemmer",Expense type,Appropriation type,"Folketingsvederlag og boliggodtgørelse",144400,131200,131800,131500,131500,<a href="javascript:visAnm('153031103')">Se anmærkninger,link</a>,
"Folketinget","Udgifter ved Folketinget","Folketinget","Folketingets medlemmer",Expense type,Appropriation type,"Befordringsudgifter",12200,11200,12200,12200,12200,<a href="javascript:visAnm('153031103')">Se anmærkninger,link</a>,
"Folketinget","Udgifter ved Folketinget","Folketinget","Folketingets medlemmer",Expense type,Appropriation type,"Folketingsgruppestøtte",119900,121200,122500,122500,122500,<a href="javascript:visAnm('153031103')">Se anmærkninger,link</a>,
"Folketinget","Udgifter ved Folketinget","Folketinget","Medlemsboliger",Expense type,Appropriation type,"Drift af medlemsboliger",1700,2400,3400,3700,3700,<a href="javascript:visAnm('153031106')">Se anmærkninger,link</a>,
"Folketinget","Folketingets Ombudsmand","Folketingets Ombudsmand","Folketingets Ombudsmand",Expense type,Appropriation type,"Almindelig virksomhed",63500,65100,65100,65800,65800,<a href="javascript:visAnm('153032101')">Se anmærkninger,link</a>,
"Folketinget","Statsrevisorerne og Rigsrevisionen","Statsrevisorerne og Rigsrevisionen","Statsrevisorerne",Expense type,Appropriation type,"Almindelig virksomhed",4900,5100,5200,5200,5200,<a href="javascript:visAnm('153033101')">Se anmærkninger,link</a>,
"Folketinget","Statsrevisorerne og Rigsrevisionen","Statsrevisorerne og Rigsrevisionen","Rigsrevisionen",Expense type,Appropriation type,"Almindelig virksomhed",192200,202500,204200,203700,203700,<a href="javascript:visAnm('153033111')">Se anmærkninger,link</a>,
"Folketinget","Folketingets pensioner","Folketingets pensioner","Folketingets pensioner",Expense type,Appropriation type,"Folketingets medlemspensioner",50500,53100,53700,53700,53700,<a href="javascript:visAnm('153034101')">Se anmærkninger,link</a>,
"Folketinget","Folketingets pensioner","Folketingets pensioner","Folketingets pensioner",Expense type,Appropriation type,"Folketingets Administrations pensioner",14800,15200,15600,15600,15600,<a href="javascript:visAnm('153034101')">Se anmærkninger,link</a>,
"Folketinget","Folketingets pensioner","Folketingets pensioner","Folketingets pensioner",Expense type,Appropriation type,"Statsrevisorernes pensioner",1100,1100,1100,1100,1100,<a href="javascript:visAnm('153034101')">Se anmærkninger,link</a>,
"Folketinget","Folketingets pensioner","Folketingets pensioner","Folketingets pensioner",Expense type,Appropriation type,"Rigsrevisionens pensioner",6100,6600,6700,6700,6700,<a href="javascript:visAnm('153034101')">Se anmærkninger,link</a>,
"Statsministeriet","Fællesudgifter","Centralstyrelsen","Departementet",Expense type,Appropriation type,"Almindelig virksomhed",89700,88100,89000,88600,87900,<a href="javascript:visAnm('153051101')">Se anmærkninger,link</a>,
"Statsministeriet","Fællesudgifter","Centralstyrelsen","Tilskud",Expense type,Appropriation type,"Nordatlantens Brygge",500,500,500,500,500,<a href="javascript:visAnm('153051105')">Se anmærkninger,link</a>,
"Statsministeriet","Fællesudgifter","Grønland og Færøerne","Rigsombudsmanden i Grønland",Expense type,Appropriation type,"Almindelig virksomhed",9100,11100,10100,10000,9900,<a href="javascript:visAnm('153051203')">Se anmærkninger,link</a>,
"Statsministeriet","Fællesudgifter","Grønland og Færøerne","Rigsombudsmanden på Færøerne",Expense type,Appropriation type,"Almindelig virksomhed",10300,10700,10300,10200,10100,<a href="javascript:visAnm('153051251')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Udenrigstjenesten mv.","Udenrigstjenesten mv.","Udenrigstjenesten",Expense type,Appropriation type,"Generel udenrigspolitik",550200,503700,494300,461200,444900,<a href="javascript:visAnm('153061101')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Udenrigstjenesten mv.","Udenrigstjenesten mv.","Udenrigstjenesten",Expense type,Appropriation type,"Administration af udviklingsbistand",766600,769700,771200,797800,797800,<a href="javascript:visAnm('153061101')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Udenrigstjenesten mv.","Udenrigstjenesten mv.","Udenrigstjenesten",Expense type,Appropriation type,"Eksport- og investeringsfremme mv.",254400,253300,252900,236800,227900,<a href="javascript:visAnm('153061101')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Udenrigstjenesten mv.","Udenrigstjenesten mv.","Udenrigstjenesten",Expense type,Appropriation type,"Borgerservice",215300,215300,217300,217200,210100,<a href="javascript:visAnm('153061101')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Udenrigstjenesten mv.","Udenrigstjenesten mv.","IMR",Expense type,Appropriation type,"Almindelig virksomhed",38400,38800,39400,39000,38200,<a href="javascript:visAnm('153061111')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Udenrigstjenesten mv.","Udenrigstjenesten mv.","Dansk Institut for Internationale Studier",Expense type,Appropriation type,"Almindelig virksomhed",27000,27000,26600,22800,22400,<a href="javascript:visAnm('153061112')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Udenrigstjenesten mv.","Udenrigstjenesten mv.","Ikke-lovbundne tilskud",Expense type,Appropriation type,"Tilskud til oplysningsarbejde mv.",4300,4300,4800,4300,4300,<a href="javascript:visAnm('153061115')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Udenrigstjenesten mv.","Udenrigstjenesten mv.","Ikke-lovbundne tilskud",Expense type,Appropriation type,"Tilskud til internationale institutioner",6900,12400,12200,12800,12800,<a href="javascript:visAnm('153061115')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Udenrigstjenesten mv.","Udenrigstjenesten mv.","Ikke-lovbundne tilskud",Expense type,Appropriation type,"Int. presseindsatser",3300,2100,2000,2000,2000,<a href="javascript:visAnm('153061115')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Udenrigstjenesten mv.","Udenrigstjenesten mv.","Ikke-lovbundne tilskud",Expense type,Appropriation type,"Freds- og Stabiliseringsfonden",29100,21400,21800,21800,21800,<a href="javascript:visAnm('153061115')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Internationale organisationer","Nordiske formål","Nordisk Ministerråd",Expense type,Appropriation type,"Nordisk Ministerråd",136600,118300,101600,101600,101600,<a href="javascript:visAnm('153062101')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Internationale organisationer","Øvrige internationale organisationer","Fredsbevarende operationer",Expense type,Appropriation type,"De Forenede Nationer",379300,306600,387300,309700,309700,<a href="javascript:visAnm('153062201')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Internationale organisationer","Øvrige internationale organisationer","Fredsbevarende operationer",Expense type,Appropriation type,"Internationale straffedomstole",18300,26800,23200,17200,17200,<a href="javascript:visAnm('153062201')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Internationale organisationer","Øvrige internationale organisationer","Øvrige organisationer",Expense type,Appropriation type,"Almindelig virksomhed",230700,251200,253700,253400,253400,<a href="javascript:visAnm('153062203')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Internationale organisationer","Øvrige internationale organisationer","Den Europæiske Investeringsbank",Expense type,Appropriation type,"Den Europæiske Investeringsbank",100,0,0,0,0,<a href="javascript:visAnm('153062205')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Reserver","Reserver og budgetreguleringer",Expense type,Appropriation type,"Reserve",0,100000,100000,100000,100000,<a href="javascript:visAnm('153063179')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Udviklingslande i Afrika",Expense type,Appropriation type,"Etiopien",4900,155000,5000,5000,155000,<a href="javascript:visAnm('153063201')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Udviklingslande i Afrika",Expense type,Appropriation type,"Niger",1000,2000,0,0,360000,<a href="javascript:visAnm('153063201')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Udviklingslande i Afrika",Expense type,Appropriation type,"Zimbabwe",249500,175000,100000,400000,600000,<a href="javascript:visAnm('153063201')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Udviklingslande i Afrika",Expense type,Appropriation type,"Somalia",19800,0,450000,0,0,<a href="javascript:visAnm('153063201')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Udviklingslande i Afrika",Expense type,Appropriation type,"Sydsudan",5000,5000,5000,300000,0,<a href="javascript:visAnm('153063201')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Udviklingslande i Afrika",Expense type,Appropriation type,"Tanzania",582300,755000,255000,5000,5000,<a href="javascript:visAnm('153063201')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Udviklingslande i Afrika",Expense type,Appropriation type,"Kenya",3500,5000,1210000,5000,5000,<a href="javascript:visAnm('153063201')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Udviklingslande i Afrika",Expense type,Appropriation type,"Uganda",455400,505000,5000,105000,5000,<a href="javascript:visAnm('153063201')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Udviklingslande i Afrika",Expense type,Appropriation type,"Mozambique",5500,385000,95000,395000,1150000,<a href="javascript:visAnm('153063201')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Udviklingslande i Afrika",Expense type,Appropriation type,"Ghana",254600,705000,225000,305000,205000,<a href="javascript:visAnm('153063201')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Udviklingslande i Afrika",Expense type,Appropriation type,"Burkina Faso",4300,40000,5000,970000,5000,<a href="javascript:visAnm('153063201')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Udviklingslande i Afrika",Expense type,Appropriation type,"Mali",401600,130000,215000,5000,445000,<a href="javascript:visAnm('153063201')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Udviklingslande i Afrika",Expense type,Appropriation type,"Øvrige indsatser i Afrika",204200,100000,0,7000,764000,<a href="javascript:visAnm('153063201')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Udviklingslande i Afrika",Expense type,Appropriation type,"AK",100200,0,0,0,0,<a href="javascript:visAnm('153063201')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Udviklingslande i Asien og Latinamerika",Expense type,Appropriation type,"Pakistan",100000,95000,50000,0,230000,<a href="javascript:visAnm('153063202')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Udviklingslande i Asien og Latinamerika",Expense type,Appropriation type,"Myanmar",103800,120000,5000,615000,5000,<a href="javascript:visAnm('153063202')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Udviklingslande i Asien og Latinamerika",Expense type,Appropriation type,"Indonesien",300,60000,0,0,0,<a href="javascript:visAnm('153063202')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Udviklingslande i Asien og Latinamerika",Expense type,Appropriation type,"Palæstina",242900,87000,171000,450000,0,<a href="javascript:visAnm('153063202')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Udviklingslande i Asien og Latinamerika",Expense type,Appropriation type,"Afghanistan",515400,265000,456000,315000,5000,<a href="javascript:visAnm('153063202')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Udviklingslande i Asien og Latinamerika",Expense type,Appropriation type,"Bangladesh",5000,5000,5000,395000,135000,<a href="javascript:visAnm('153063202')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Udviklingslande i Asien og Latinamerika",Expense type,Appropriation type,"Nepal",398100,205000,5000,5000,5000,<a href="javascript:visAnm('153063202')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Udviklingslande i Asien og Latinamerika",Expense type,Appropriation type,"Øvrige indsatser i Asien",0,0,32500,0,200000,<a href="javascript:visAnm('153063202')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Udviklingslande i Asien og Latinamerika",Expense type,Appropriation type,"Bolivia",190700,399000,3000,3000,3000,<a href="javascript:visAnm('153063202')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Udviklingslande i Asien og Latinamerika",Expense type,Appropriation type,"Øvrige indsatser i Latinamerika",20000,0,0,125000,0,<a href="javascript:visAnm('153063202')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Personelbistand og myndighedssamarbejde",Expense type,Appropriation type,"Rådgiverbistand",21800,8000,8000,8000,10000,<a href="javascript:visAnm('153063204')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Personelbistand og myndighedssamarbejde",Expense type,Appropriation type,"Stipendiatbistand",40000,40000,40000,40000,40000,<a href="javascript:visAnm('153063204')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Personelbistand og myndighedssamarbejde",Expense type,Appropriation type,"Firmarådgivere",32200,80000,60000,60000,60000,<a href="javascript:visAnm('153063204')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Personelbistand og myndighedssamarbejde",Expense type,Appropriation type,"IT-, ejend., rejse-, komp. og kom. udgifter",91800,92300,93200,93200,93200,<a href="javascript:visAnm('153063204')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Personelbistand og myndighedssamarbejde",Expense type,Appropriation type,"Rådgivende enheder",116200,116800,118000,118000,118000,<a href="javascript:visAnm('153063204')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Personelbistand og myndighedssamarbejde",Expense type,Appropriation type,"Vækstrådgivere",0,0,33000,33000,33000,<a href="javascript:visAnm('153063204')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Personelbistand og myndighedssamarbejde",Expense type,Appropriation type,"Strategisk sektorsamarbejde",0,0,39000,39000,39000,<a href="javascript:visAnm('153063204')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Danidas erhvervsindsatser",Expense type,Appropriation type,"Danida Business Partnerships",164300,237000,228000,250000,243000,<a href="javascript:visAnm('153063205')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Danidas erhvervsindsatser",Expense type,Appropriation type,"CSR træningsfonden vedr. IFU-investeringer",3000,3000,3000,3000,3000,<a href="javascript:visAnm('153063205')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Danidas erhvervsindsatser",Expense type,Appropriation type,"FN's Global Compact",2000,2000,2000,2000,2000,<a href="javascript:visAnm('153063205')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Danidas erhvervsindsatser",Expense type,Appropriation type,"Danida Business Finance",329600,300000,254000,300000,300000,<a href="javascript:visAnm('153063205')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Danidas erhvervsindsatser",Expense type,Appropriation type,"Investeringsfonde",0,0,89000,0,0,<a href="javascript:visAnm('153063205')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Danidas erhvervsindsatser",Expense type,Appropriation type,"Danida Business Delegations",0,0,20000,20000,20000,<a href="javascript:visAnm('153063205')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Lånebistand",Expense type,Appropriation type,"Afskrivning af lån",295000,0,0,0,0,<a href="javascript:visAnm('153063207')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Lånebistand",Expense type,Appropriation type,"Gældslettelse til udviklingslandene",3200,20000,1100,500,100,<a href="javascript:visAnm('153063207')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Øvrig bistand",Expense type,Appropriation type,"Dignity - Dansk Institut mod Tortur",48000,48000,48000,48000,48000,<a href="javascript:visAnm('153063208')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Øvrig bistand",Expense type,Appropriation type,"Det Arabiske Initiativ",270700,0,0,0,0,<a href="javascript:visAnm('153063208')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Øvrig bistand",Expense type,Appropriation type,"Stabilisering og konfliktforebyggelse",110000,54000,177600,86900,285000,<a href="javascript:visAnm('153063208')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Øvrig bistand",Expense type,Appropriation type,"Demokrati og menneskerettigheder",206800,215700,93500,156800,297900,<a href="javascript:visAnm('153063208')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Øvrig bistand",Expense type,Appropriation type,"Freds- og Stabiliseringsfonden",210700,90000,295000,205000,225000,<a href="javascript:visAnm('153063208')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Øvrig bistand",Expense type,Appropriation type,"Institut for Menneskerettigheder (IMR)",0,0,29200,29200,29200,<a href="javascript:visAnm('153063208')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Det Arabiske Initiativ",Expense type,Appropriation type,"Dansk-arabiske partnerskabsaftaler",0,103000,104000,0,278000,<a href="javascript:visAnm('153063209')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Det Arabiske Initiativ",Expense type,Appropriation type,"Øvrige indsatser",0,172000,171000,48000,272000,<a href="javascript:visAnm('153063209')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Naboskabsprogram",Expense type,Appropriation type,"Programindsatser",139400,160000,190000,160000,160000,<a href="javascript:visAnm('153063211')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bilateral bistand","Naboskabsprogram",Expense type,Appropriation type,"Øvrige indsatser",67200,40000,40000,40000,40000,<a href="javascript:visAnm('153063211')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bistand gennem civilsamfundsorganisationer","Bistand gennem civilsamfundsorganisationer",Expense type,Appropriation type,"Rammeaftaler",717000,782000,808000,808000,808000,<a href="javascript:visAnm('153063301')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bistand gennem civilsamfundsorganisationer","Bistand gennem civilsamfundsorganisationer",Expense type,Appropriation type,"Strategiske Initiativer",30700,61000,53000,53000,53000,<a href="javascript:visAnm('153063301')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Bistand gennem civilsamfundsorganisationer","Bistand gennem civilsamfundsorganisationer",Expense type,Appropriation type,"Puljeordninger og netværk",238600,240000,242000,242000,242000,<a href="javascript:visAnm('153063301')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Miljø- og klimabistand","Miljø- og klimabistand i udviklingslande mv.",Expense type,Appropriation type,"Klimainvesteringsfonden",50000,0,0,0,0,<a href="javascript:visAnm('153063401')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Miljø- og klimabistand","Miljø- og klimabistand i udviklingslande mv.",Expense type,Appropriation type,"IUCN",0,0,0,50000,0,<a href="javascript:visAnm('153063401')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Miljø- og klimabistand","Miljø- og klimabistand i udviklingslande mv.",Expense type,Appropriation type,"FN's Miljøprogram (UNEP)",84800,0,0,90000,0,<a href="javascript:visAnm('153063401')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Miljø- og klimabistand","Miljø- og klimabistand i udviklingslande mv.",Expense type,Appropriation type,"Den Globale Miljøfacilitet (GEF)",0,400000,0,0,0,<a href="javascript:visAnm('153063401')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Miljø- og klimabistand","Miljø- og klimabistand i udviklingslande mv.",Expense type,Appropriation type,"Klimapulje",481200,475000,475000,0,0,<a href="javascript:visAnm('153063401')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Miljø- og klimabistand","Miljø- og klimabistand i udviklingslande mv.",Expense type,Appropriation type,"Øvrige miljøbidrag",199000,222000,154000,191000,202000,<a href="javascript:visAnm('153063401')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Miljø- og klimabistand","Miljø- og klimabistand i udviklingslande mv.",Expense type,Appropriation type,"Ozonfonden",0,0,23000,0,0,<a href="javascript:visAnm('153063401')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Forsknings- og oplysningsvirksomhed","Forskning og oplysning i Danmark mv.",Expense type,Appropriation type,"Projekter i Danmark",107500,0,20000,155000,0,<a href="javascript:visAnm('153063501')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Forsknings- og oplysningsvirksomhed","Forskning og oplysning i Danmark mv.",Expense type,Appropriation type,"Forskningsvirksomhed",93700,155000,135000,135000,135000,<a href="javascript:visAnm('153063501')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Forsknings- og oplysningsvirksomhed","Forskning og oplysning i Danmark mv.",Expense type,Appropriation type,"Oplysningsvirksomhed",40100,50000,70000,60000,60000,<a href="javascript:visAnm('153063501')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Forsknings- og oplysningsvirksomhed","Forskning og oplysning i Danmark mv.",Expense type,Appropriation type,"Kulturelt samarbejde (CKU)",110000,0,85000,0,130000,<a href="javascript:visAnm('153063501')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Forsknings- og oplysningsvirksomhed","Forskning og oplysning i Danmark mv.",Expense type,Appropriation type,"Udredningsvirksomhed",7200,7000,0,5000,11000,<a href="javascript:visAnm('153063501')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Forsknings- og oplysningsvirksomhed","Forskning og oplysning i Danmark mv.",Expense type,Appropriation type,"Seminarer, kurser, konferencer mv.",5900,10000,30000,10000,10000,<a href="javascript:visAnm('153063501')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Forsknings- og oplysningsvirksomhed","Forskning og oplysning i Danmark mv.",Expense type,Appropriation type,"Evaluering",17500,20000,21000,21000,21000,<a href="javascript:visAnm('153063501')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Forsknings- og oplysningsvirksomhed","International udviklingsforskning",Expense type,Appropriation type,"International landbrugsforskning (CGIAR)",105000,0,0,105000,0,<a href="javascript:visAnm('153063502')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Forsknings- og oplysningsvirksomhed","International udviklingsforskning",Expense type,Appropriation type,"Anden international udviklingsforskning",5000,10000,10000,16000,9000,<a href="javascript:visAnm('153063502')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Multilateral bistand gennem FN mv.","UNDP",Expense type,Appropriation type,"FN's Udviklingsprogram (UNDP)",330000,345000,345000,345000,345000,<a href="javascript:visAnm('153063601')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Multilateral bistand gennem FN mv.","UNDP",Expense type,Appropriation type,"FN's ligestillingsenhed (UN Women)",65900,63000,63000,63000,63000,<a href="javascript:visAnm('153063601')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Multilateral bistand gennem FN mv.","UNDP",Expense type,Appropriation type,"FN-byen",128200,196100,197400,171100,171100,<a href="javascript:visAnm('153063601')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Multilateral bistand gennem FN mv.","De Forenede Nationers Børnefond (UNICEF)",Expense type,Appropriation type,"Generelt bidrag til UNICEF",175000,190000,90000,190000,190000,<a href="javascript:visAnm('153063602')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Multilateral bistand gennem FN mv.","HIV/AIDS, Befolknings- og sundhedsprogrammer",Expense type,Appropriation type,"FN's Befolkningsfond (UNFPA)",230000,242000,152000,252000,252000,<a href="javascript:visAnm('153063603')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Multilateral bistand gennem FN mv.","HIV/AIDS, Befolknings- og sundhedsprogrammer",Expense type,Appropriation type,"IPPF m.fl.",165000,85000,165000,85000,165000,<a href="javascript:visAnm('153063603')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Multilateral bistand gennem FN mv.","HIV/AIDS, Befolknings- og sundhedsprogrammer",Expense type,Appropriation type,"Verdenssundhedsorg. WHO's udvik. aktiviteter",0,60000,0,60000,0,<a href="javascript:visAnm('153063603')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Multilateral bistand gennem FN mv.","HIV/AIDS, Befolknings- og sundhedsprogrammer",Expense type,Appropriation type,"FN's Aids-bekæmpelsesprogram (UNAIDS) m.fl.",0,125000,15000,110000,15000,<a href="javascript:visAnm('153063603')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Multilateral bistand gennem FN mv.","HIV/AIDS, Befolknings- og sundhedsprogrammer",Expense type,Appropriation type,"Den Globale Fond",145000,165000,165000,165000,165000,<a href="javascript:visAnm('153063603')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Bistand til udviklingslandene","Multilateral bistand gennem FN mv.","HIV/AIDS, Befolknings- og sundhedsprogrammer",Expense type,Appropriation type,"Det globale vaccinationsinitiativ (GAVI)",25000,0,0,0,0,<a href="javascript:visAnm('153063603')">Se anmærkninger,link</a>,
